time,latitude,longitude
1570866134727,30.635349,104.088075
1570866134743,30.635349,104.088075
1570866134753,30.635349,104.088075
1570866135713,30.63538,104.088054
1570866135721,30.63538,104.088054
1570866135726,30.63538,104.088054
1570866135732,30.63538,104.088054
1570866136715,30.635413,104.088036
1570866136724,30.635413,104.088036
1570866136731,30.635413,104.088036
1570866136745,30.635413,104.088036
1570866137710,30.635448,104.088017
1570866137717,30.635448,104.088017
1570866137723,30.635448,104.088017
1570866137731,30.635448,104.088017
1570866138715,30.635482,104.087999
1570866138727,30.635482,104.087999
1570866138737,30.635482,104.087999
1570866138745,30.635482,104.087999
1570866139706,30.635514,104.087975
1570866139715,30.635514,104.087975
1570866139720,30.635514,104.087975
1570866139729,30.635514,104.087975
1570866140709,30.635543,104.087949
1570866140717,30.635543,104.087949
1570866140725,30.635543,104.087949
1570866140734,30.635543,104.087949
1570866141701,30.635572,104.087922
1570866141707,30.635572,104.087922
1570866141714,30.635572,104.087922
1570866141721,30.635572,104.087922
1570866142708,30.6356,104.087898
1570866142716,30.6356,104.087898
1570866142721,30.6356,104.087898
1570866142726,30.6356,104.087898
1570866143713,30.63563,104.087876
1570866143719,30.63563,104.087876
1570866143725,30.63563,104.087876
1570866143731,30.63563,104.087876
1570866144723,30.635662,104.087855
1570866144728,30.635662,104.087855
1570866144735,30.635662,104.087855
1570866144741,30.635662,104.087855
1570866145710,30.635691,104.087835
1570866145720,30.635691,104.087835
1570866145736,30.635691,104.087835
1570866145740,30.635691,104.087835
1570866146752,30.635716,104.087814
1570866146766,30.635716,104.087814
1570866146771,30.635716,104.087814
1570866146777,30.635716,104.087814
1570866147710,30.635745,104.087794
1570866147716,30.635745,104.087794
1570866147723,30.635745,104.087794
1570866147732,30.635745,104.087794
1570866148724,30.635778,104.087774
1570866148734,30.635778,104.087774
1570866148740,30.635778,104.087774
1570866148748,30.635778,104.087774
1570866149131,30.635778,104.087774
1570866149141,30.635778,104.087774
1570866149153,30.635778,104.087774
1570866149160,30.635778,104.087774
1570866149729,30.635811,104.087752
1570866149738,30.635811,104.087752
1570866149746,30.635811,104.087752
1570866149750,30.635811,104.087752
1570866150711,30.635843,104.087731
1570866150719,30.635843,104.087731
1570866150728,30.635843,104.087731
1570866150735,30.635843,104.087731
1570866151729,30.635874,104.087708
1570866151737,30.635874,104.087708
1570866151741,30.635874,104.087708
1570866151747,30.635874,104.087708
1570866152726,30.635907,104.087684
1570866152732,30.635907,104.087684
1570866152740,30.635907,104.087684
1570866152751,30.635907,104.087684
1570866153715,30.635941,104.087661
1570866153725,30.635941,104.087661
1570866153731,30.635941,104.087661
1570866153740,30.635941,104.087661
1570866154725,30.635979,104.087633
1570866154733,30.635979,104.087633
1570866154741,30.635979,104.087633
1570866154751,30.635979,104.087633
1570866155691,30.636011,104.087608
1570866155697,30.636011,104.087608
1570866155703,30.636011,104.087608
1570866155708,30.636011,104.087608
1570866156713,30.636042,104.087583
1570866156719,30.636042,104.087583
1570866156726,30.636042,104.087583
1570866156735,30.636042,104.087583
1570866157708,30.636074,104.087561
1570866157714,30.636074,104.087561
1570866157721,30.636074,104.087561
1570866157728,30.636074,104.087561
1570866158740,30.636106,104.08754
1570866158745,30.636106,104.08754
1570866158752,30.636106,104.08754
1570866158757,30.636106,104.08754
1570866159732,30.63614,104.08752
1570866159743,30.63614,104.08752
1570866159748,30.63614,104.08752
1570866159752,30.63614,104.08752
1570866160700,30.636173,104.087502
1570866160707,30.636173,104.087502
1570866160716,30.636173,104.087502
1570866160721,30.636173,104.087502
1570866161714,30.636208,104.087486
1570866161724,30.636208,104.087486
1570866161733,30.636208,104.087486
1570866161740,30.636208,104.087486
1570866162732,30.636243,104.087468
1570866162744,30.636243,104.087468
1570866162752,30.636243,104.087468
1570866162759,30.636243,104.087468
1570866163714,30.63628,104.087447
1570866163723,30.63628,104.087447
1570866163729,30.63628,104.087447
1570866163735,30.63628,104.087447
1570866164719,30.636317,104.087424
1570866164724,30.636317,104.087424
1570866164730,30.636317,104.087424
1570866164736,30.636317,104.087424
1570866165719,30.636353,104.087402
1570866165727,30.636353,104.087402
1570866165733,30.636353,104.087402
1570866165739,30.636353,104.087402
1570866166735,30.636388,104.087378
1570866166745,30.636388,104.087378
1570866166753,30.636388,104.087378
1570866166762,30.636388,104.087378
1570866167715,30.636427,104.087352
1570866167728,30.636427,104.087352
1570866167736,30.636427,104.087352
1570866167743,30.636427,104.087352
1570866168734,30.636465,104.087327
1570866168741,30.636465,104.087327
1570866168745,30.636465,104.087327
1570866168750,30.636465,104.087327
1570866169709,30.636503,104.087305
1570866169722,30.636503,104.087305
1570866169727,30.636503,104.087305
1570866169739,30.636503,104.087305
1570866170706,30.63654,104.087285
1570866170712,30.63654,104.087285
1570866170718,30.63654,104.087285
1570866170726,30.63654,104.087285
1570866171707,30.63658,104.087265
1570866171718,30.63658,104.087265
1570866171726,30.63658,104.087265
1570866171731,30.63658,104.087265
1570866172067,30.63658,104.087265
1570866172075,30.63658,104.087265
1570866172085,30.63658,104.087265
1570866172094,30.63658,104.087265
1570866172731,30.636614,104.087248
1570866172752,30.636614,104.087248
1570866172757,30.636614,104.087248
1570866172768,30.636614,104.087248
1570866173721,30.636648,104.08723
1570866173728,30.636648,104.08723
1570866173734,30.636648,104.08723
1570866173743,30.636648,104.08723
1570866174725,30.63668,104.087214
1570866174736,30.63668,104.087214
1570866174742,30.63668,104.087214
1570866174747,30.63668,104.087214
1570866175710,30.636716,104.087198
1570866175719,30.636716,104.087198
1570866175726,30.636716,104.087198
1570866175732,30.636716,104.087198
1570866176716,30.636754,104.087179
1570866176724,30.636754,104.087179
1570866176733,30.636754,104.087179
1570866176739,30.636754,104.087179
1570866177717,30.636789,104.087158
1570866177724,30.636789,104.087158
1570866177729,30.636789,104.087158
1570866177735,30.636789,104.087158
1570866178699,30.636824,104.087134
1570866178705,30.636824,104.087134
1570866178715,30.636824,104.087134
1570866178721,30.636824,104.087134
1570866179709,30.636857,104.08711
1570866179717,30.636857,104.08711
1570866179724,30.636857,104.08711
1570866179730,30.636857,104.08711
1570866180726,30.636885,104.087086
1570866180738,30.636885,104.087086
1570866180745,30.636885,104.087086
1570866180752,30.636885,104.087086
1570866181679,30.636912,104.087064
1570866181682,30.636912,104.087064
1570866181686,30.636912,104.087064
1570866181690,30.636912,104.087064
1570866182711,30.636938,104.087042
1570866182719,30.636938,104.087042
1570866182727,30.636938,104.087042
1570866182735,30.636938,104.087042
1570866183702,30.636963,104.087022
1570866183716,30.636963,104.087022
1570866183723,30.636963,104.087022
1570866183742,30.636963,104.087022
1570866184726,30.636989,104.087002
1570866184732,30.636989,104.087002
1570866184740,30.636989,104.087002
1570866184746,30.636989,104.087002
1570866185731,30.637013,104.086986
1570866185738,30.637013,104.086986
1570866185746,30.637013,104.086986
1570866185761,30.637013,104.086986
1570866186704,30.637036,104.08697
1570866186712,30.637036,104.08697
1570866186724,30.637036,104.08697
1570866186731,30.637036,104.08697
1570866187713,30.637057,104.086955
1570866187724,30.637057,104.086955
1570866187731,30.637057,104.086955
1570866187738,30.637057,104.086955
1570866188736,30.637078,104.08694
1570866188744,30.637078,104.08694
1570866188751,30.637078,104.08694
1570866188762,30.637078,104.08694
1570866189723,30.637096,104.086926
1570866189737,30.637096,104.086926
1570866189745,30.637096,104.086926
1570866189752,30.637096,104.086926
1570866190731,30.637115,104.086911
1570866190747,30.637115,104.086911
1570866190755,30.637115,104.086911
1570866190766,30.637115,104.086911
1570866191709,30.637134,104.086895
1570866191717,30.637134,104.086895
1570866191724,30.637134,104.086895
1570866191731,30.637134,104.086895
1570866192702,30.637154,104.086881
1570866192713,30.637154,104.086881
1570866192719,30.637154,104.086881
1570866192734,30.637154,104.086881
1570866193731,30.637174,104.086869
1570866193738,30.637174,104.086869
1570866193744,30.637174,104.086869
1570866193750,30.637174,104.086869
1570866194702,30.637193,104.086858
1570866194716,30.637193,104.086858
1570866194721,30.637193,104.086858
1570866194727,30.637193,104.086858
1570866195710,30.637213,104.086847
1570866195719,30.637213,104.086847
1570866195726,30.637213,104.086847
1570866195731,30.637213,104.086847
1570866196735,30.637231,104.086838
1570866196746,30.637231,104.086838
1570866196755,30.637231,104.086838
1570866196763,30.637231,104.086838
1570866197709,30.637248,104.086829
1570866197718,30.637248,104.086829
1570866197727,30.637248,104.086829
1570866197735,30.637248,104.086829
1570866198720,30.637264,104.086819
1570866198734,30.637264,104.086819
1570866198740,30.637264,104.086819
1570866198747,30.637264,104.086819
1570866199680,30.637281,104.086805
1570866199684,30.637281,104.086805
1570866199687,30.637281,104.086805
1570866199691,30.637281,104.086805
1570866200677,30.637296,104.08679
1570866200680,30.637296,104.08679
1570866200683,30.637296,104.08679
1570866200685,30.637296,104.08679
1570866201704,30.63731,104.086779
1570866201714,30.63731,104.086779
1570866201720,30.63731,104.086779
1570866201732,30.63731,104.086779
1570866202712,30.637319,104.086769
1570866202720,30.637319,104.086769
1570866202727,30.637319,104.086769
1570866202734,30.637319,104.086769
1570866203719,30.637322,104.086755
1570866203738,30.637322,104.086755
1570866203749,30.637322,104.086755
1570866203756,30.637322,104.086755
1570866204728,30.637322,104.086742
1570866204734,30.637322,104.086742
